name_of_product,price,category_name,quantity_at_storage
Кока-кола 0.5л,85,Напитки,50
Пепси 0.5л,80,Напитки,45
Спрайт 0.5л,80,Напитки,40
Фанта 0.5л,80,Напитки,38
Минеральная вода 0.5л,60,Напитки,30
Сок яблочный 1л,120,Напитки,25
Сок апельсиновый 1л,130,Напитки,22
Чипсы Лейс сметана-лук,130,Снеки,30
Чипсы Лейс паприка,130,Снеки,28
Чипсы Pringles оригинал,250,Снеки,15
Сухарики Кириешки,50,Снеки,60
Орешки солёные,100,Снеки,25
Молоко 3.2% 1л,75,Молочные продукты,20
Молоко 2.5% 1л,70,Молочные продукты,18
Кефир 2.5% 1л,85,Молочные продукты,15
Сметана 20% 400г,120,Молочные продукты,12
Творог 9% 400г,150,Молочные продукты,10
Сыр Российский 200г,180,Молочные продукты,8
Масло сливочное 200г,160,Молочные продукты,10
Яблоки свежие 1кг,90,Фрукты,35
Бананы 1кг,110,Фрукты,40
Апельсины 1кг,120,Фрукты,25
Груши 1кг,150,Фрукты,15
Картофель 1кг,40,Овощи,50
Морковь 1кг,35,Овощи,45
Лук репчатый 1кг,35,Овощи,40
Капуста белокочанная 1кг,45,Овощи,30
Огурцы свежие 1кг,130,Овощи,20
Помидоры свежие 1кг,150,Овощи,18
Хлеб белый нарезной,45,Хлебобулочные,25
Хлеб чёрный,50,Хлебобулочные,22
Батон нарезной,40,Хлебобулочные,30
Булочка с маком,25,Хлебобулочные,40
Шоколад Alpen Gold молочный,85,Сладости,35
Шоколад Milka ореховый,110,Сладости,25
Конфеты Коркунов,200,Сладости,10
Печенье Юбилейное,70,Сладости,30
Мармелад жевательный,90,Сладости,20
Макароны твердые сорта,80,Бакалея,40
Рис круглый 1кг,90,Бакалея,35
Гречка 1кг,85,Бакалея,30
Мука пшеничная 1кг,55,Бакалея,25
Сахар 1кг,60,Бакалея,40
Соль 1кг,25,Бакалея,50
Масло подсолнечное 1л,110,Бакалея,20
Куриное филе 1кг,280,Мясо,15
Говядина вырезка 1кг,450,Мясо,10
Свинина шейка 1кг,380,Мясо,12
Фарш мясной 1кг,300,Мясо,8
Филе минтая 1кг,250,Рыба,10
Скумбрия копченая,300,Рыба,7
Пельмени "Сибирские" 1кг,250,Заморозка,15
Котлеты замороженные 500г,200,Заморозка,12
Мороженое пломбир,60,Заморозка,25
Сок детский "Агуша",50,Детское питание,30
Пюре фруктовое 100г,40,Детское питание,28
Смесь молочная 350г,450,Детское питание,10
Пиво светлое 0.5л,70,Алкоголь,40
Вино полусладкое 0.75л,450,Алкоголь,15
